full_name,html_url,downloads_url,created_at,updated_at,stargazers_count,language,has_issues,has_projects,has_downloads,forks_count,archived,disabled,open_issues_count,default_branch,subscribers_count,organization/type,commits_count,contr_count
tolgraven/tolgrAVen,https://github.com/tolgraven/tolgrAVen,https://api.github.com/repos/tolgraven/tolgrAVen/downloads,2020-09-26 21:41:47+00:00,2025-11-11 09:27:46+00:00,1.0,Clojure,True,True,True,0.0,False,False,31.0,master,1.0,,1309.0,1
dwp/retirement-maintain,https://github.com/dwp/retirement-maintain,https://api.github.com/repos/dwp/retirement-maintain/downloads,2023-11-21 14:39:26+00:00,2025-09-20 11:37:24+00:00,1.0,HTML,True,True,True,1.0,False,False,1.0,main,2.0,Organization,7965.0,30
Eddayy/Eddayy.github.io,https://github.com/Eddayy/Eddayy.github.io,https://api.github.com/repos/Eddayy/Eddayy.github.io/downloads,2018-12-19 01:37:29+00:00,2025-08-25 06:44:46+00:00,1.0,JavaScript,True,True,True,0.0,False,False,14.0,development,1.0,,278.0,4
AndriySikora/ionic2,https://github.com/AndriySikora/ionic2,https://api.github.com/repos/AndriySikora/ionic2/downloads,2017-02-15 14:53:28+00:00,2025-09-24 09:57:25+00:00,0.0,TypeScript,True,True,True,0.0,False,False,11.0,master,1.0,,14.0,2
sasmi825/portfolio-website,https://github.com/sasmi825/portfolio-website,https://api.github.com/repos/sasmi825/portfolio-website/downloads,2025-04-22 18:59:45+00:00,2025-11-06 02:27:10+00:00,0.0,TypeScript,True,True,True,0.0,False,False,0.0,main,1.0,,18.0,1
Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core,https://api.github.com/repos/Homebrew/homebrew-core/downloads,2016-03-01 06:58:36+00:00,2025-11-11 15:31:00+00:00,14796.0,Ruby,True,False,True,13189.0,False,False,79.0,main,296.0,Organization,716191.0,30
mnugumanova/ztake.org,https://github.com/mnugumanova/ztake.org,https://api.github.com/repos/mnugumanova/ztake.org/downloads,2019-02-26 16:46:21+00:00,2025-09-13 02:34:35+00:00,0.0,Vue,True,True,True,0.0,False,False,2.0,master,3.0,,184.0,5
nalmeida/modesto,https://github.com/nalmeida/modesto,https://api.github.com/repos/nalmeida/modesto/downloads,2020-05-18 17:59:02+00:00,2025-07-29 17:54:55+00:00,6.0,HTML,True,True,True,0.0,False,False,21.0,master,1.0,,52.0,2
ssbeefeater/ssi-modal,https://github.com/ssbeefeater/ssi-modal,https://api.github.com/repos/ssbeefeater/ssi-modal/downloads,2016-04-12 11:21:59+00:00,2025-09-02 12:43:48+00:00,26.0,JavaScript,True,True,True,14.0,False,False,1.0,master,4.0,,83.0,4
nyris/nyris-webapp,https://github.com/nyris/nyris-webapp,https://api.github.com/repos/nyris/nyris-webapp/downloads,2019-11-26 10:37:28+00:00,2025-11-07 13:34:31+00:00,2.0,TypeScript,True,False,True,1.0,False,False,2.0,main,3.0,Organization,1479.0,8
steven91-ar/ecom,https://github.com/steven91-ar/ecom,https://api.github.com/repos/steven91-ar/ecom/downloads,2025-08-30 01:34:23+00:00,2025-09-12 01:39:30+00:00,0.0,Twig,True,True,True,0.0,False,False,0.0,main,0.0,,25.0,2
unixorn/zsh-lunch-and-learn,https://github.com/unixorn/zsh-lunch-and-learn,https://api.github.com/repos/unixorn/zsh-lunch-and-learn/downloads,2019-10-08 18:11:03+00:00,2025-07-24 06:10:31+00:00,2.0,JavaScript,True,True,True,0.0,False,False,2.0,master,1.0,,2445.0,30
community-exchange-network/komunitin,https://github.com/community-exchange-network/komunitin,https://api.github.com/repos/community-exchange-network/komunitin/downloads,2020-01-14 09:48:36+00:00,2025-11-07 11:48:23+00:00,18.0,TypeScript,True,True,True,5.0,False,False,63.0,master,6.0,Organization,1696.0,8
mysticrenji/az_devops_secured_pipeline,https://github.com/mysticrenji/az_devops_secured_pipeline,https://api.github.com/repos/mysticrenji/az_devops_secured_pipeline/downloads,2020-07-19 02:46:13+00:00,2025-10-18 02:35:40+00:00,0.0,TypeScript,True,True,True,0.0,False,False,11.0,master,0.0,,62.0,3
lowmoonlight/web-portfolio,https://github.com/lowmoonlight/web-portfolio,https://api.github.com/repos/lowmoonlight/web-portfolio/downloads,2020-06-16 01:27:11+00:00,2025-08-22 17:45:15+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,69.0,2
AshwinkumarPillai/Unitours,https://github.com/AshwinkumarPillai/Unitours,https://api.github.com/repos/AshwinkumarPillai/Unitours/downloads,2019-07-28 08:52:15+00:00,2025-07-23 15:48:17+00:00,0.0,CSS,True,True,True,0.0,False,False,1.0,master,1.0,,27.0,2
travi-org/admin.travi.org,https://github.com/travi-org/admin.travi.org,https://api.github.com/repos/travi-org/admin.travi.org/downloads,2015-04-17 05:23:36+00:00,2025-08-10 16:44:08+00:00,3.0,JavaScript,True,True,True,0.0,False,False,81.0,master,1.0,Organization,5623.0,8
Ckbhatia/ck_newsletter_front_end,https://github.com/Ckbhatia/ck_newsletter_front_end,https://api.github.com/repos/Ckbhatia/ck_newsletter_front_end/downloads,2020-07-10 06:47:22+00:00,2025-09-07 18:45:56+00:00,0.0,JavaScript,True,True,True,1.0,False,False,2.0,master,0.0,,67.0,2
iagocavalcante/egua-da-vaga,https://github.com/iagocavalcante/egua-da-vaga,https://api.github.com/repos/iagocavalcante/egua-da-vaga/downloads,2019-09-20 18:05:37+00:00,2025-10-01 16:14:15+00:00,12.0,Vue,True,True,True,0.0,False,False,0.0,main,1.0,,75.0,2
Meri-MG/school,https://github.com/Meri-MG/school,https://api.github.com/repos/Meri-MG/school/downloads,2023-07-13 12:42:26+00:00,2025-09-09 10:12:10+00:00,0.0,Ruby,True,True,True,1.0,False,False,0.0,main,1.0,,127.0,1
slighter12/web-predict-stock,https://github.com/slighter12/web-predict-stock,https://api.github.com/repos/slighter12/web-predict-stock/downloads,2019-08-27 03:58:52+00:00,2025-09-15 02:26:34+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,70.0,2
