repo,sha,author,date,message,url,stars,contributors,description,total_commits
tolgraven/tolgrAVen,3f5011a0e8f2dd4f260c7d3474215460d9c90548,Joen Tolgraven,2025-09-22T23:38:38.000+02:00,project: remove node-sass,https://github.com/tolgraven/tolgrAVen/commit/3f5011a0e8f2dd4f260c7d3474215460d9c90548,1.0,1.0,Code for my website at https://tolgraven.se,1264.0
dwp/retirement-maintain,0203997f12d501c5437c481733254871c40e9b83,Gemma Leigh,2016-01-12T14:33:49.000Z,Merge pull request #119 from alphagov/remove-node-sass-2,https://github.com/dwp/retirement-maintain/commit/0203997f12d501c5437c481733254871c40e9b83,1.0,1.0,,7965.0
Eddayy/Eddayy.github.io,e1bcc7404a95aca0a3ffec68642107e325d27edc,Edmund Tay,2025-08-25T14:41:58.000+08:00,Merge pull request #105 from Eddayy/renovate/npm-node-sass-vulnerability,https://github.com/Eddayy/Eddayy.github.io/commit/e1bcc7404a95aca0a3ffec68642107e325d27edc,1.0,1.0,My personal website,278.0
AndriySikora/ionic2,ac55ae96cd917c09190c212ab2cb060a3b317826,Andriy Sikora,2025-09-24T11:57:21.000+02:00,Merge pull request #11 from AndriySikora/dependabot/npm_and_yarn/node-sass-7.0.1,https://github.com/AndriySikora/ionic2/commit/ac55ae96cd917c09190c212ab2cb060a3b317826,0.0,1.0,Ionic2 app,14.0
enara28/enara_itzala,c248d503b5aef0e66ec6cc2fdeb3d4712b2bd8b9,enara28,2025-09-18T12:32:22.000+02:00,cambio node-sass por sass,https://github.com/enara28/enara_itzala/commit/c248d503b5aef0e66ec6cc2fdeb3d4712b2bd8b9,0.0,0.0,,16.0
CharlieHammersley/raptors1711.com,e2e0c0e7986a4da30957703701e1d9ed2109e647,Trevor Sears,2025-09-10T18:40:33.000-04:00,Moved to `sass` over `node-sass`.,https://github.com/CharlieHammersley/raptors1711.com/commit/e2e0c0e7986a4da30957703701e1d9ed2109e647,1.0,1.0,The official website for FRC team 1711 - The Raptors.,
sasmi825/portfolio-website,271e3f6f4361125c6365492adf54613ac7bc7b63,Sasmi Polu,2025-09-08T22:23:23.000-07:00,Replace node-sass with sass,https://github.com/sasmi825/portfolio-website/commit/271e3f6f4361125c6365492adf54613ac7bc7b63,0.0,1.0,My Portfolio,17.0
Homebrew/homebrew-core,dede37cbdf6a48cf18e6e3a21200155e728189a6,BrewTestBot,2025-09-20T02:14:35.000Z,node-sass: update 1.93.0 bottle.,https://github.com/Homebrew/homebrew-core/commit/dede37cbdf6a48cf18e6e3a21200155e728189a6,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
Homebrew/homebrew-core,07df67cde8b12d43a61c70cde024870143d0f331,BrewTestBot,2025-09-06T02:34:35.000Z,node-sass 1.92.1,https://github.com/Homebrew/homebrew-core/commit/07df67cde8b12d43a61c70cde024870143d0f331,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
mnugumanova/ztake.org,818916160bb8e4d8b908efa38cb9a8f1cc651bd4,_den,2025-09-13T12:34:06.000+10:00,replace node-sass with sass,https://github.com/mnugumanova/ztake.org/commit/818916160bb8e4d8b908efa38cb9a8f1cc651bd4,0.0,1.0,,184.0
nalmeida/modesto,fc5a3ef776811b137d59658a682f3e135c3637b1,dependabot[bot],2025-07-29T03:03:25.000Z,Bump form-data and node-sass,https://github.com/nalmeida/modesto/commit/fc5a3ef776811b137d59658a682f3e135c3637b1,6.0,1.0,"Um framework CSS simples, para estilizar minimamente um conteúdo tipo ""texto"" sem precisar adicionar nenhuma classe aos elementos nativos.",52.0
ssbeefeater/ssi-modal,66408c9ede21815d7aa11b322de9940a020a5f68,Mike,2025-09-02T18:13:44.000+05:30,Merge pull request #4 from ssbeefeater/dependabot/npm_and_yarn/node-sass-4.14.1,https://github.com/ssbeefeater/ssi-modal/commit/66408c9ede21815d7aa11b322de9940a020a5f68,26.0,1.0,ssi-modal is the most flexible and powerful modal window.,83.0
nyris/nyris-webapp,e7793ec157c5e13bb4cc4538d3f069f695db26d5,Ridwan,2025-08-19T17:26:53.000+06:00,remove node-sass,https://github.com/nyris/nyris-webapp/commit/e7793ec157c5e13bb4cc4538d3f069f695db26d5,2.0,1.0,Web App for nyris visual search demonstrations. See https://docs.nyris.io,1456.0
steven91-ar/ecom,58d64babbf62c5aa940e594bce8d7c5454e93f9c,steven9work,2025-09-11T23:54:30.000+02:00,"fix: remove node-sass, switch to sass",https://github.com/steven91-ar/ecom/commit/58d64babbf62c5aa940e594bce8d7c5454e93f9c,0.0,1.0,,25.0
unixorn/zsh-lunch-and-learn,eb7e094722fedfe0cc4c095bac4e548919906099,dependabot[bot],2025-07-21T23:36:57.000Z,Bump form-data and node-sass,https://github.com/unixorn/zsh-lunch-and-learn/commit/eb7e094722fedfe0cc4c095bac4e548919906099,2.0,1.0,Lunch and learn about ZSH,2445.0
community-exchange-network/komunitin,09090c83731209f6f5088413fe3a604e83ba9ec9,Esteve,2025-09-04T11:43:30.000+02:00,remove node-sass deprecated dependency,https://github.com/community-exchange-network/komunitin/commit/09090c83731209f6f5088413fe3a604e83ba9ec9,18.0,1.0,Open System for Exchange Communities,1479.0
Homebrew/homebrew-core,4c83ffc4aa06ee317177bc8b362347fe3d5d6ae5,BrewTestBot,2025-09-02T23:13:15.000Z,node-sass 1.92.0,https://github.com/Homebrew/homebrew-core/commit/4c83ffc4aa06ee317177bc8b362347fe3d5d6ae5,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
mysticrenji/az_devops_secured_pipeline,8c4ebad727b4ddd7af0156ab0a26cec23530eecc,renovate[bot],2025-09-12T06:33:24.000Z,Update dependency node-sass to v9,https://github.com/mysticrenji/az_devops_secured_pipeline/commit/8c4ebad727b4ddd7af0156ab0a26cec23530eecc,0.0,1.0,"Azure DevOps Pipeline with Sonar, White Source & OWASP",
lowmoonlight/web-portfolio,7e9261cbef8ea053e2b953a6c43b78c7f6f98173,dependabot[bot],2025-08-22T17:39:30.000Z,Bump tar and node-sass,https://github.com/lowmoonlight/web-portfolio/commit/7e9261cbef8ea053e2b953a6c43b78c7f6f98173,0.0,1.0,,
AshwinkumarPillai/Unitours,e4fdbc04ba9e562e525ebf9d787bb22645c45f19,dependabot[bot],2025-07-23T15:33:42.000Z,Bump form-data and node-sass,https://github.com/AshwinkumarPillai/Unitours/commit/e4fdbc04ba9e562e525ebf9d787bb22645c45f19,0.0,1.0,,27.0
travi-org/admin.travi.org,ac8ff22246ac13303d5c3c28ae6612fbb00f973d,renovate[bot],2025-08-10T16:44:03.000Z,Merge pull request #3406 from travi-org/renovate/npm-node-sass-vulnerability,https://github.com/travi-org/admin.travi.org/commit/ac8ff22246ac13303d5c3c28ae6612fbb00f973d,3.0,1.0,reference client to api.travi.org,5623.0
Ckbhatia/ck_newsletter_front_end,cdc9e19bca421b7848e48158b921162729a044c0,Ckbhatia,2025-09-07T12:51:29.000+05:30,chore: replace node-sass with sass,https://github.com/Ckbhatia/ck_newsletter_front_end/commit/cdc9e19bca421b7848e48158b921162729a044c0,0.0,1.0,Ck newsletter client,67.0
iagocavalcante/egua-da-vaga,b8688123311070439257f5304fe810ec50125b58,Iago Cavalcante,2025-09-26T13:22:49.000-03:00,Update dependencies and replace node-sass with sass,https://github.com/iagocavalcante/egua-da-vaga/commit/b8688123311070439257f5304fe810ec50125b58,12.0,1.0,,75.0
Meri-MG/school,0702780905feb69bf85018d9abbe311a8105500f,Meri-MG,2025-09-09T13:22:48.000+04:00,Update from node-sass to sass,https://github.com/Meri-MG/school/commit/0702780905feb69bf85018d9abbe311a8105500f,0.0,1.0,"Adventist Learning Center provides quality education to Syrian and Kurdish Refugees living in Beirut, Lebanon. This simple website was built to reach a bigger audience and ease the process of gathering donations for the ALC students.",127.0
slighter12/web-predict-stock,577a0df184531965d79dcdc32977e2eb7b91fc96,slighter12,2025-08-22T22:09:27.000+08:00,Merge pull request #27 from slighter12/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/slighter12/web-predict-stock/commit/577a0df184531965d79dcdc32977e2eb7b91fc96,0.0,1.0,,
Homebrew/homebrew-core,d9b3bc5aa11d8629a61713e4525a7ebf6bdc9bf4,Štefan Baebler,2025-09-13T22:14:21.000Z,node-sass: update 1.92.1 bottle.,https://github.com/Homebrew/homebrew-core/commit/d9b3bc5aa11d8629a61713e4525a7ebf6bdc9bf4,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
frc1711/raptors1711.com,e2e0c0e7986a4da30957703701e1d9ed2109e647,Trevor Sears,2025-09-10T18:40:33.000-04:00,Moved to `sass` over `node-sass`.,https://github.com/frc1711/raptors1711.com/commit/e2e0c0e7986a4da30957703701e1d9ed2109e647,0.0,1.0,The official website for FRC team 1711 - The Raptors.,
uiewop/TRLweb,07419f36fe08da8d2bde8df973f5e18c82a979ae,uiewop,2025-09-27T23:34:02.000+12:00,Migrate from node-sass to sass for Netlify compatibility,https://github.com/uiewop/TRLweb/commit/07419f36fe08da8d2bde8df973f5e18c82a979ae,0.0,1.0,,149.0
jeffgarris/Advanced-CSS-and-Sass-Course,7d5bc9500be43105dec08e84a9551dec34714e44,dependabot[bot],2025-07-22T15:30:28.000Z,Bump form-data and node-sass,https://github.com/jeffgarris/Advanced-CSS-and-Sass-Course/commit/7d5bc9500be43105dec08e84a9551dec34714e44,0.0,1.0,Udemy - Advanced CSS and Sass Course,4.0
wanho1108/tooool,350c28fae37c4b53e9bdfe4550e7a9db512a4cc4,wanho1108,2025-08-25T03:00:14.000+09:00,Fix `node-sass` error,https://github.com/wanho1108/tooool/commit/350c28fae37c4b53e9bdfe4550e7a9db512a4cc4,0.0,1.0,디자이너를 위한 툴 사이트,47.0
seagomezar/sebastian-gomez,9b8a73af78c3f24fac778d550c06de548d1ee126,Sebastian Gomez,2025-09-09T16:49:07.000-05:00,Merge pull request #7 from seagomezar/dependabot/npm_and_yarn/themes/tranquilpeak/node-sass-4.14.1,https://github.com/seagomezar/sebastian-gomez/commit/9b8a73af78c3f24fac778d550c06de548d1ee126,1.0,1.0,Sebastian Gomez Blog - A Hexo Project.,40.0
limbara/my-resume,d1ab62f569a33f18150492125ff42220f06b576d,dependabot[bot],2025-07-22T00:49:24.000Z,Bump form-data and node-sass,https://github.com/limbara/my-resume/commit/d1ab62f569a33f18150492125ff42220f06b576d,0.0,1.0,,
darskkaa/sneakerbots,9b18cd004709056f876aaac0f64c993c0c0f1002,darskkaa,2025-09-02T20:32:05.000-04:00,Fix node-sass dependency issue - Removed unnecessary node-sass and sass dependencies - Simplified Vite configuration for Tailwind CSS - Cleaned up package.json dependencies - Fixed CSS processing for Netlify build,https://github.com/darskkaa/sneakerbots/commit/9b18cd004709056f876aaac0f64c993c0c0f1002,0.0,1.0,,
darskkaa/sneakerbots,05d838bf3876d695b64e862969774c1ad7319a3b,darskkaa,2025-09-02T20:29:59.000-04:00,Fix node-sass dependency issue - Removed unnecessary node-sass and sass dependencies - Simplified Vite configuration for Tailwind CSS - Cleaned up package.json dependencies - Fixed CSS processing for Netlify build,https://github.com/darskkaa/sneakerbots/commit/05d838bf3876d695b64e862969774c1ad7319a3b,0.0,1.0,,
tg0825/sadari,5e2021854e1e2d2ff82f1dc8db97d2435e9eaff5,yoon taegun,2025-08-22T15:02:21.000+09:00,Merge pull request #35 from tg0825/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/tg0825/sadari/commit/5e2021854e1e2d2ff82f1dc8db97d2435e9eaff5,0.0,1.0,사다리 게임,
Mrserg123/test-deploy,f716db09bf68f85931c4f64799bada66a5cc7d07,serhii.perpelov,2025-09-20T17:27:56.000+03:00,Replace node-sass with sass in package.json,https://github.com/Mrserg123/test-deploy/commit/f716db09bf68f85931c4f64799bada66a5cc7d07,0.0,1.0,,21.0
sarcy/react-app-boilerplate,0ac339adcc3ea63e0254eeb7965ded677b435e61,sarcy,2025-08-22T15:55:06.000+10:00,Merge pull request #20 from sarcy/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/sarcy/react-app-boilerplate/commit/0ac339adcc3ea63e0254eeb7965ded677b435e61,0.0,1.0,Boilerplate to start building a React App.,72.0
